snapshot_id,timestamp,good_count,bad_count,source_timestamp_count,server_timestamp_count,source_min_timestamp,source_max_timestamp,sync_spread_ms,connected,health
1,2026-09-25T09:44:50.630689+00:00,83,0,83,0,2026-09-25T11:13:56.324064+00:00,2026-09-25T11:13:56.414069+00:00,90.005,True,ok
4,2026-09-25T09:44:51.661042+00:00,83,0,83,0,2026-09-25T11:13:57.360123+00:00,2026-09-25T11:13:57.444128+00:00,84.005,True,ok
7,2026-09-25T09:44:52.715206+00:00,83,0,83,0,2026-09-25T11:13:58.402183+00:00,2026-09-25T11:13:58.498188+00:00,96.005,True,ok
9,2026-09-25T09:44:53.454350+00:00,83,0,83,0,2026-09-25T11:13:59.132225+00:00,2026-09-25T11:13:59.237231+00:00,105.006,True,ok
12,2026-09-25T09:44:54.614209+00:00,83,0,83,0,2026-09-25T11:14:00.306292+00:00,2026-09-25T11:14:00.397297+00:00,91.005,True,ok
15,2026-09-25T09:44:55.646369+00:00,83,0,83,0,2026-09-25T11:14:01.339351+00:00,2026-09-25T11:14:01.429356+00:00,90.005,True,ok
18,2026-09-25T09:44:56.793292+00:00,83,0,83,0,2026-09-25T11:14:02.490417+00:00,2026-09-25T11:14:02.576422+00:00,86.005,True,ok
21,2026-09-25T09:44:57.864583+00:00,83,0,83,0,2026-09-25T11:14:03.555478+00:00,2026-09-25T11:14:03.644483+00:00,89.005,True,ok
23,2026-09-25T09:44:58.584265+00:00,83,0,83,0,2026-09-25T11:14:04.276519+00:00,2026-09-25T11:14:04.366524+00:00,90.005,True,ok
26,2026-09-25T09:44:59.684043+00:00,83,0,83,0,2026-09-25T11:14:05.376582+00:00,2026-09-25T11:14:05.466587+00:00,90.005,True,ok
29,2026-09-25T09:45:00.713689+00:00,83,0,83,0,2026-09-25T11:14:06.409641+00:00,2026-09-25T11:14:06.496646+00:00,87.005,True,ok
32,2026-09-25T09:45:01.788289+00:00,83,0,83,0,2026-09-25T11:14:07.477702+00:00,2026-09-25T11:14:07.569707+00:00,92.00500000000001,True,ok
34,2026-09-25T09:45:02.578203+00:00,83,0,83,0,2026-09-25T11:14:08.266747+00:00,2026-09-25T11:14:08.360753+00:00,94.006,True,ok
37,2026-09-25T09:45:03.646056+00:00,83,0,83,0,2026-09-25T11:14:09.324808+00:00,2026-09-25T11:14:09.428814+00:00,104.006,True,ok
40,2026-09-25T09:45:04.866869+00:00,83,0,83,0,2026-09-25T11:14:10.557878+00:00,2026-09-25T11:14:10.648883+00:00,91.005,True,ok
42,2026-09-25T09:45:05.550347+00:00,83,0,83,0,2026-09-25T11:14:11.245918+00:00,2026-09-25T11:14:11.332923+00:00,87.005,True,ok
45,2026-09-25T09:45:06.580291+00:00,83,0,83,0,2026-09-25T11:14:12.276977+00:00,2026-09-25T11:14:12.361981+00:00,85.00399999999999,True,ok
48,2026-09-25T09:45:07.607499+00:00,83,0,83,0,2026-09-25T11:14:13.305035+00:00,2026-09-25T11:14:13.390040+00:00,85.005,True,ok
