cycle,start,end,duration_s,phase.Burning,phase.Oven release,phase.Transfer from oven,phase.Transfer to turntable,phase.Sawing,phase.Move to sorting,phase.Sorting,incomplete_phases
1,2026-09-25T13:07:23.761427+00:00,2026-09-25T13:08:10.504101+00:00,46.742674,5.047289,2.125122,8.954512,10.551603,4.034231,2.302132,9.498543,
2,2026-09-25T13:08:10.504101+00:00,2026-09-25T13:09:03.604138+00:00,53.100037,5.132293,1.974113,8.90451,10.66561,4.03323,2.024116,16.517945,
3,2026-09-25T13:09:03.604138+00:00,2026-09-25T13:09:56.877185+00:00,53.273047,5.283302,2.001115,8.998514,10.348592,4.235242,2.345135,15.897909,
4,2026-09-25T13:09:56.877185+00:00,2026-09-25T13:10:59.284755+00:00,62.40757,5.263301,1.979113,9.161524,10.429597,3.894223,25.510459,1.824104,
5,2026-09-25T13:10:59.284755+00:00,2026-09-25T13:11:37.467938+00:00,38.183183,5.055289,2.095119,8.862507,10.402595,4.109235,2.226128,1.654094,
6,2026-09-25T13:11:37.467938+00:00,2026-09-25T13:12:21.468455+00:00,44.000517,4.930282,2.515144,8.894509,10.331591,3.988228,2.122121,7.15541,
