measurement,stage,signal,occurrence,cycle_context,start,end,elapsed_s,actuator_on_s,complete
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,1,1.0,2026-09-25 13:07:39.888350+00:00,2026-09-25 13:07:48.116820+00:00,8.22847,8.22847,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,2,2.0,2026-09-25 13:08:26.515017+00:00,2026-09-25 13:08:34.753488+00:00,8.238471,8.238471,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,3,3.0,2026-09-25 13:09:19.887069+00:00,2026-09-25 13:09:27.989533+00:00,8.102464,8.102464,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,4,4.0,2026-09-25 13:10:13.281123+00:00,2026-09-25 13:10:20.923560+00:00,7.642437,7.642437,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,5,5.0,2026-09-25 13:11:15.297670+00:00,2026-09-25 13:11:23.426135+00:00,8.128465,8.128465,True
actuator_on,Transfer to turntable,ms.motor.transfer_turntable,6,6.0,2026-09-25 13:11:53.807873+00:00,2026-09-25 13:12:01.603319+00:00,7.795446,7.795446,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,1,1.0,2026-09-25 13:07:50.439953+00:00,2026-09-25 13:07:51.579018+00:00,1.139065,1.139065,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,2,1.0,2026-09-25 13:07:53.417123+00:00,2026-09-25 13:07:53.766143+00:00,0.34902,0.34902,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,3,2.0,2026-09-25 13:08:37.180627+00:00,2026-09-25 13:08:38.282690+00:00,1.102063,1.102063,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,4,2.0,2026-09-25 13:08:39.727772+00:00,2026-09-25 13:08:40.427812+00:00,0.70004,0.70004,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,5,3.0,2026-09-25 13:09:30.235661+00:00,2026-09-25 13:09:31.752748+00:00,1.517087,1.517087,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,6,3.0,2026-09-25 13:09:33.250834+00:00,2026-09-25 13:09:33.675858+00:00,0.425024,0.425024,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,7,4.0,2026-09-25 13:10:23.710720+00:00,2026-09-25 13:10:24.828784+00:00,1.118064,1.118064,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,8,4.0,2026-09-25 13:10:26.373872+00:00,2026-09-25 13:10:27.178918+00:00,0.805046,0.805046,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,9,5.0,2026-09-25 13:11:25.700265+00:00,2026-09-25 13:11:26.990339+00:00,1.290074,1.290074,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,10,5.0,2026-09-25 13:11:28.548428+00:00,2026-09-25 13:11:29.022455+00:00,0.474027,0.474027,True
actuator_on,Turntable clockwise,ms.motor.turntable_cw,11,6.0,2026-09-25 13:12:04.139464+00:00,2026-09-25 13:12:05.405536+00:00,1.2660719999999999,1.2660719999999999,True
