cycle,start,end,cycle_time_s,oven_arrival_start,oven_arrival_end,oven_arrival_cycle_s
1,2026-09-25 13:07:23.761427+00:00,2026-09-25 13:08:10.504101+00:00,46.742674,2026-09-25 13:07:19.529185+00:00,2026-09-25 13:07:30.590818+00:00,11.061633
2,2026-09-25 13:08:10.504101+00:00,2026-09-25 13:09:03.604138+00:00,53.100037,2026-09-25 13:07:30.590818+00:00,2026-09-25 13:08:06.261858+00:00,35.67104
3,2026-09-25 13:09:03.604138+00:00,2026-09-25 13:09:56.877185+00:00,53.273047,2026-09-25 13:08:06.261858+00:00,2026-09-25 13:08:17.251487+00:00,10.989629
4,2026-09-25 13:09:56.877185+00:00,2026-09-25 13:10:59.284755+00:00,62.40757,2026-09-25 13:08:17.251487+00:00,2026-09-25 13:08:59.742917+00:00,42.49143
5,2026-09-25 13:10:59.284755+00:00,2026-09-25 13:11:37.467938+00:00,38.183183,2026-09-25 13:08:59.742917+00:00,2026-09-25 13:09:10.482531+00:00,10.739614
6,2026-09-25 13:11:37.467938+00:00,2026-09-25 13:12:21.468455+00:00,44.000517,2026-09-25 13:09:10.482531+00:00,2026-09-25 13:09:52.700946+00:00,42.218415
