cycle,start,end,cycle_time_s,start_event,end_event,start_signal,end_signal,pickup_interval_s
1,2026-09-25 15:08:55.215475+00:00,2026-09-25 15:09:40.040038+00:00,44.824563,HBW pickup,Sorting-line entry,c.valve.vacuum + hbw.sensor.outside active,sl.sensor.before_color active,
2,2026-09-25 15:09:47.877487+00:00,2026-09-25 15:10:32.728052+00:00,44.850565,HBW pickup,Sorting-line entry,c.valve.vacuum + hbw.sensor.outside active,sl.sensor.before_color active,52.662012
