cycle,start,end,duration_s,start_event,end_event,cycle_definition
1,2026-09-25T15:08:55.215475+00:00,2026-09-25T15:09:40.040038+00:00,44.824563,HBW pickup,Sorting-line entry,HBW pickup -> sorting-line entry
2,2026-09-25T15:09:47.877487+00:00,2026-09-25T15:10:32.728052+00:00,44.850565,HBW pickup,Sorting-line entry,HBW pickup -> sorting-line entry
