cycle,start,end,duration_s,phase.Burning,phase.Oven release,phase.Transfer from oven,phase.Transfer to turntable,phase.Sawing,phase.Move to sorting,phase.Sorting,incomplete_phases
1,2026-09-25T12:27:05.619117+00:00,2026-09-25T12:27:51.421737+00:00,45.80262,4.803275,1.456083,9.592549,9.999572,4.111235,1.929111,9.869564,
2,2026-09-25T12:27:51.421737+00:00,2026-09-25T12:28:39.454485+00:00,48.032748,4.948283,2.172124,9.118522,10.627608,4.129236,1.630093,10.556604,
3,2026-09-25T12:28:39.454485+00:00,2026-09-25T12:29:21.764905+00:00,42.31042,4.135236,2.590148,9.280531,9.96957,3.951226,3.266187,4.157238,
