cycle,start,end,cycle_time_s,oven_arrival_start,oven_arrival_end,oven_arrival_cycle_s
1,2026-09-25 12:27:05.619117+00:00,2026-09-25 12:27:51.421737+00:00,45.80262,2026-09-25 12:27:01.370874+00:00,2026-09-25 12:27:11.871475+00:00,10.500601
2,2026-09-25 12:27:51.421737+00:00,2026-09-25 12:28:39.454485+00:00,48.032748,2026-09-25 12:27:11.871475+00:00,2026-09-25 12:27:30.768556+00:00,18.897081
3,2026-09-25 12:28:39.454485+00:00,2026-09-25 12:29:21.764905+00:00,42.31042,2026-09-25 12:27:30.768556+00:00,2026-09-25 12:27:47.367505+00:00,16.598949
