cycle,start,end,duration_s,phase.Burning,phase.Oven release,phase.Transfer from oven,phase.Transfer to turntable,phase.Sawing,phase.Move to sorting,phase.Sorting,incomplete_phases
1,2026-09-25T12:45:56.702812+00:00,2026-09-25T12:46:43.446485+00:00,46.743673,5.170295,2.169125,8.985513,10.338592,4.147237,10.196583,1.847106,
2,2026-09-25T12:46:43.446485+00:00,2026-09-25T12:47:36.803537+00:00,53.357052,5.268302,2.095119,9.093521,10.399594,4.105235,6.131351,12.144695,
3,2026-09-25T12:47:36.803537+00:00,2026-09-25T12:48:29.784568+00:00,52.981031,5.126293,2.102121,8.796503,10.805618,3.717212,5.459313,12.647723,
4,2026-09-25T12:48:29.784568+00:00,2026-09-25T12:49:16.579244+00:00,46.794676,4.89728,2.194125,8.994515,10.072576,4.251243,1.995114,10.406595,
5,2026-09-25T12:49:16.579244+00:00,2026-09-25T12:50:09.839290+00:00,53.260046,5.202298,2.258129,8.56949,10.65961,4.070232,2.305132,16.008916,
